Matrícula,Nome do Aluno,E-mail,(1º Período) Ativ. Integradoras I,(1º Período) Bases Morfofuncionais,(1º Período) Bioquímica Mol. e Metab. I,(1º Período) Fund. Pesquisa Medicina I,(1º Período) Saúde e Sociedade I,(1º Período) Sociologia e Antropologia I,(2º Período) Ativ. Integradoras II,(2º Período) Biologia Molecular,(2º Período) Bioquímica Mol. e Metab. II,(2º Período) Habilidades Médicas I,(2º Período) Saúde e Sociedade II,(2º Período) Sist. Int. - Nervoso/Endócrino,(2º Período) Sist. Int. - Digestório/Reprodutor,(3º Período) Ativ. Integradoras III,(3º Período) Interação Agente Hosp. I,(3º Período) Imunologia Básica,(3º Período) Farmacologia I,(3º Período) Fund. Pesquisa Medicina II,(3º Período) Habilidades Médicas II,(3º Período) Saúde e Sociedade III,(3º Período) Sist. Int. - Cardiocirc.,(3º Período) Sist. Int. - Resp./Urinário,(3º Período) Sociologia e Antropologia II,(4º Período) Imunologia Clínica,(4º Período) Interação Agente Hosp. II,(4º Período) Farmacologia II,(4º Período) Fisiopatologia,(4º Período) Habilidades Médicas III,(4º Período) Patologia Geral,(4º Período) Saúde Mental I,(4º Período) Semiologia I,(5º Período) Medicina Legal,(5º Período) Patologia Especial,(5º Período) Saúde Mental II,(5º Período) Semiologia II,(5º Período) Semiologia Criança/Adol.,(6º Período) Dermatologia,(6º Período) Doenças Infec. e Parasitárias,(6º Período) Epidemiologia Clínica,(6º Período) Raciocínio Clínico,(6º Período) Otorrinolaringologia,(6º Período) Semiologia Ginec./Obst.,(7º Período) Clínica Criança/Adol.,(7º Período) Clínica Ginec./Obst.,(7º Período) Clínica Médica I,(7º Período) Ortopedia,(7º Período) Oftalmologia,(8º Período) Clínica Cirúrgica,(8º Período) Clínica Médica II,(8º Período) Saúde Mental III,(8º Período) Urgência e Emergência,(9º Período) Internato Clínica Médica,(9º Período) Internato Pediatria,(10º Período) Internato Cirurgia,(10º Período) Internato Ginecologia/Obstetrícia,(11º Período) Internato Saúde Mental,(11º Período) Internato Urgência e Emergência,(12º Período) Internato Saúde da Família,(12º Período) Internato Eletivo
20230760,Sofia Pereira Souza,sofia.pereira.souza@medicina.ficticio.edu,9.1,6.0,6.3,6.8,9.6,8.2,5.3,9.2,7.9,8.2,9.3,7.9,10.0,8.0,7.1,8.0,9.0,9.8,9.3,7.4,6.5,8.2,5.5,6.0,7.2,8.8,7.8,9.6,7.1,6.6,9.1,7.6,8.5,6.2,7.5,8.6,7.3,9.0,8.4,6.6,8.0,6.4,7.4,9.3,7.6,6.4,9.6,8.8,9.5,9.6,5.5,,,,,,,,
20230761,Yasmin Pereira Ferreira,yasmin.pereira.ferreira@medicina.ficticio.edu,8.7,6.4,7.6,7.1,7.3,5.5,6.4,9.5,8.5,9.5,5.9,5.7,9.8,9.9,9.9,9.2,7.9,5.3,6.4,7.5,10.0,7.9,5.5,5.2,6.3,7.7,9.1,7.9,8.3,7.4,6.9,5.7,8.1,6.3,8.9,7.2,5.7,9.4,8.3,6.5,6.5,5.6,7.3,9.9,9.9,9.2,7.0,6.4,7.6,9.8,5.5,,,,,,,,
20230762,Helena Rodrigues Martins,helena.rodrigues.martins@medicina.ficticio.edu,9.4,8.6,8.7,8.5,9.2,8.7,5.2,7.4,5.6,6.8,7.0,6.2,5.8,8.7,9.0,9.4,9.5,8.4,8.9,7.8,8.4,5.4,8.8,5.7,5.8,7.8,8.6,8.5,9.1,6.7,5.1,9.8,9.2,6.7,7.4,6.3,8.7,7.5,5.9,8.0,6.0,9.5,9.5,9.8,9.3,9.6,6.9,6.5,7.4,5.0,9.7,,,,,,,,
20230763,Sofia Alves Gomes,sofia.alves.gomes@medicina.ficticio.edu,5.6,8.4,6.8,9.3,5.3,5.2,5.5,6.4,9.9,5.3,9.4,6.9,7.0,6.3,9.0,9.1,7.6,8.5,8.7,7.2,6.3,7.7,5.4,8.2,7.5,7.3,9.6,7.0,9.0,8.8,6.3,8.6,9.9,6.3,7.7,7.0,7.0,6.8,9.5,8.5,8.1,9.9,8.5,6.5,6.4,7.2,8.3,5.3,7.4,9.3,6.5,,,,,,,,
20230764,Pedro Santos Rodrigues,pedro.santos.rodrigues@medicina.ficticio.edu,8.2,8.0,7.8,8.2,8.1,7.1,8.7,7.6,6.7,6.2,5.5,5.3,9.7,8.7,5.3,6.7,8.5,5.3,5.8,9.9,8.7,9.4,6.6,7.1,7.6,6.6,6.7,9.0,6.1,7.0,6.9,6.9,9.3,9.9,8.9,7.6,7.1,9.6,9.8,7.7,7.2,8.5,9.3,5.7,8.9,8.9,5.4,5.7,8.7,8.7,6.4,,,,,,,,
20230765,Ana Ribeiro Oliveira,ana.ribeiro.oliveira@medicina.ficticio.edu,7.3,7.6,6.5,9.7,6.9,6.8,7.6,5.4,7.0,9.2,7.1,8.2,6.3,7.4,5.2,7.4,9.2,9.6,8.4,7.2,5.9,8.6,6.5,5.5,8.8,9.3,6.5,7.4,7.0,8.1,5.2,5.5,6.3,6.9,9.1,9.2,7.0,9.4,8.0,5.6,9.2,7.7,9.8,8.5,6.6,6.9,9.6,7.3,7.6,7.6,9.7,,,,,,,,
20230766,Vitor Ribeiro Pereira,vitor.ribeiro.pereira@medicina.ficticio.edu,6.5,7.1,6.8,5.2,5.5,9.6,9.7,9.9,9.0,9.6,9.0,5.6,6.0,7.4,10.0,6.0,5.2,9.6,7.4,5.1,6.2,5.5,10.0,7.7,9.7,8.0,6.2,7.2,7.8,5.2,9.6,8.3,6.1,8.0,8.7,6.4,6.3,7.2,9.6,6.5,8.7,6.5,7.0,9.6,6.6,6.8,9.5,5.4,9.0,9.8,9.2,,,,,,,,
20230767,Olivia Silva Pereira,olivia.silva.pereira@medicina.ficticio.edu,6.6,9.1,6.4,8.7,7.5,6.0,8.7,7.6,7.8,9.0,5.3,9.9,9.2,7.0,8.6,5.0,8.6,7.4,7.8,7.1,8.4,6.0,9.4,8.9,6.8,6.6,7.0,9.8,5.4,8.8,6.6,5.2,8.2,6.7,5.2,6.4,7.1,8.8,9.0,9.2,7.0,8.2,5.5,8.0,5.5,5.6,5.6,7.5,8.7,8.3,6.1,,,,,,,,
20230768,Julia Pereira Alves,julia.pereira.alves@medicina.ficticio.edu,5.5,6.7,8.1,7.2,6.9,9.4,6.8,8.9,8.4,5.6,6.4,9.4,6.2,7.7,9.3,7.6,7.3,7.5,8.7,7.7,5.6,8.3,7.8,9.7,5.1,6.6,6.5,6.2,9.9,7.9,5.9,9.7,7.5,8.7,9.1,6.8,7.0,7.5,6.0,6.4,5.0,7.1,5.6,7.8,6.1,5.8,5.3,8.9,7.6,5.2,6.9,,,,,,,,
20230769,Mariana Carvalho Carvalho,mariana.carvalho.carvalho@medicina.ficticio.edu,6.1,5.9,5.8,6.6,5.2,6.5,9.0,6.4,5.8,6.6,9.5,9.9,8.6,8.3,8.2,10.0,7.2,6.4,5.6,5.5,7.6,6.3,8.0,5.8,7.6,7.7,9.3,8.3,6.6,6.8,9.6,8.5,8.4,5.7,8.7,5.9,5.5,7.2,7.0,8.0,5.1,6.8,6.1,6.3,8.0,6.4,9.7,5.1,9.5,9.7,5.6,,,,,,,,
20230770,Daniela Costa Ribeiro,daniela.costa.ribeiro@medicina.ficticio.edu,6.1,5.2,6.6,8.9,9.0,9.7,5.7,6.7,8.1,6.7,7.7,7.7,6.6,7.4,5.1,5.4,9.4,7.6,9.4,8.9,6.1,9.4,8.4,6.2,7.0,7.2,5.1,8.4,7.2,5.1,7.6,6.8,5.2,8.0,6.5,6.3,6.9,9.4,9.5,5.3,6.7,7.9,5.2,6.1,5.9,7.7,5.3,9.7,7.1,6.4,6.1,,,,,,,,
20230771,Mariana Costa Souza,mariana.costa.souza@medicina.ficticio.edu,5.5,5.4,6.7,7.8,8.8,5.6,9.2,6.7,5.1,8.7,6.3,8.2,6.1,8.3,7.9,7.1,6.4,5.5,6.0,5.2,6.2,5.5,7.6,8.0,9.5,6.0,9.9,6.0,5.2,7.0,5.1,8.4,5.0,9.4,7.3,9.3,8.3,5.7,6.1,6.0,6.6,8.3,6.4,5.4,9.0,8.2,5.7,7.8,5.9,9.6,6.4,,,,,,,,
20230772,Daniela Oliveira Ribeiro,daniela.oliveira.ribeiro@medicina.ficticio.edu,5.4,6.5,7.9,8.6,8.5,7.6,7.6,7.0,9.2,9.3,10.0,6.1,7.0,9.6,6.2,5.4,8.8,6.7,6.3,5.1,5.7,5.1,5.7,5.1,5.5,9.6,6.3,8.9,9.7,7.4,7.3,7.0,6.8,5.9,5.6,6.3,7.2,7.4,8.0,9.3,8.4,6.0,7.1,6.3,6.7,5.0,8.7,8.2,5.1,6.2,8.0,,,,,,,,
20230773,Igor Ribeiro Martins,igor.ribeiro.martins@medicina.ficticio.edu,6.7,6.2,9.1,8.4,7.3,7.7,5.4,7.9,6.9,10.0,8.3,5.8,7.2,7.2,7.5,6.1,5.0,10.0,8.5,5.3,8.0,6.5,8.4,8.1,6.7,5.3,8.8,8.7,9.3,6.5,9.9,8.0,6.8,9.5,8.3,6.8,5.6,9.3,9.0,8.4,9.2,8.1,5.8,5.5,9.3,8.5,8.2,6.3,6.4,6.4,9.2,,,,,,,,
20230774,Daniela Martins Costa,daniela.martins.costa@medicina.ficticio.edu,6.5,7.5,8.8,9.5,8.9,9.3,7.9,6.1,7.1,7.1,9.8,9.0,8.7,7.2,8.5,9.8,10.0,9.3,7.7,5.5,8.4,6.5,9.2,8.4,9.4,8.2,8.2,8.7,9.2,5.3,5.3,8.2,8.2,9.3,6.9,6.4,6.6,7.3,8.6,7.0,9.4,6.3,9.9,9.2,6.7,7.7,5.9,7.5,8.1,8.6,6.4,,,,,,,,
20230775,Helena Souza Souza,helena.souza.souza@medicina.ficticio.edu,10.0,7.6,8.2,9.7,8.1,9.0,9.4,7.9,5.7,8.1,5.8,9.6,9.0,7.0,5.9,6.2,7.0,8.3,6.2,8.7,9.2,7.0,10.0,6.6,6.3,8.2,7.1,9.9,7.3,7.1,9.3,8.3,8.9,5.4,7.3,8.8,9.8,9.6,9.9,8.9,5.9,9.3,8.1,6.8,6.1,9.6,9.1,7.8,7.1,6.9,7.4,,,,,,,,
20230776,Mariana Costa Pereira,mariana.costa.pereira@medicina.ficticio.edu,5.2,9.3,8.1,6.6,9.4,6.6,5.7,5.9,6.7,8.2,6.5,5.9,9.5,5.9,6.1,8.1,7.7,9.0,7.1,6.3,9.7,9.1,6.0,9.0,6.0,7.1,9.9,5.8,7.6,9.8,6.9,5.8,9.8,6.8,9.6,7.0,5.9,9.8,5.2,6.0,6.3,8.2,6.4,9.8,9.2,6.9,9.0,6.7,5.5,6.0,6.3,,,,,,,,
20230777,Zeca Costa Souza,zeca.costa.souza@medicina.ficticio.edu,6.2,5.4,7.6,6.2,5.8,9.1,7.9,7.0,7.4,7.0,5.7,6.8,7.7,7.2,8.3,9.1,8.1,10.0,5.9,7.2,7.5,9.4,6.3,8.8,6.2,8.0,8.5,8.6,7.5,9.0,6.1,7.0,5.3,8.4,5.8,9.9,5.5,9.8,9.7,9.9,9.3,7.0,9.5,7.7,8.1,8.3,6.2,6.1,8.8,9.4,6.9,,,,,,,,
20230778,Carlos Costa Rodrigues,carlos.costa.rodrigues@medicina.ficticio.edu,5.0,7.1,9.1,5.0,5.0,9.5,6.9,7.0,9.4,8.3,5.4,9.6,7.1,9.2,7.6,8.3,7.6,6.9,5.7,5.1,7.6,7.3,5.0,8.0,7.0,5.5,8.2,7.6,6.1,8.7,8.4,7.1,8.5,7.3,9.4,8.8,7.9,5.9,8.5,6.1,5.2,5.4,5.2,8.0,6.9,8.2,9.4,6.3,5.4,9.3,5.4,,,,,,,,
20230779,Tiago Almeida Silva,tiago.almeida.silva@medicina.ficticio.edu,9.9,8.2,6.3,9.6,9.5,7.1,5.7,8.0,5.1,7.9,8.5,9.5,7.3,6.8,9.9,8.9,9.4,7.0,7.1,5.5,9.4,6.5,7.8,6.4,7.3,8.6,6.0,8.7,5.1,5.4,9.2,6.8,6.0,7.5,10.0,7.5,7.3,9.7,8.1,8.1,7.1,6.7,7.3,7.9,8.6,6.8,8.0,8.0,7.8,6.9,5.7,,,,,,,,
20230780,Nicolas Souza Souza,nicolas.souza.souza@medicina.ficticio.edu,8.0,6.4,5.9,8.8,7.9,7.4,9.0,9.4,7.5,5.6,9.9,5.8,8.0,5.1,6.7,8.1,7.1,8.4,8.8,8.3,5.4,9.9,7.6,9.2,6.9,9.0,9.3,7.1,7.5,7.5,8.3,9.4,7.4,5.5,6.7,8.1,9.0,6.5,6.8,9.8,8.5,5.3,6.9,9.6,5.3,8.5,8.6,5.7,7.9,5.3,7.9,,,,,,,,
20230781,Yasmin Costa Oliveira,yasmin.costa.oliveira@medicina.ficticio.edu,5.5,5.1,5.4,8.5,9.0,7.3,5.5,9.1,9.6,6.3,9.4,9.8,5.4,8.7,7.9,9.0,6.7,9.7,7.7,7.5,5.9,9.7,6.1,7.3,9.1,9.3,9.8,9.1,7.9,6.0,8.3,5.6,7.9,9.8,5.4,7.5,7.9,9.9,5.4,6.1,10.0,5.1,6.5,6.5,8.1,7.4,8.4,5.0,8.5,9.1,7.8,,,,,,,,
20230782,Rafael Alves Pereira,rafael.alves.pereira@medicina.ficticio.edu,5.4,7.6,8.1,7.7,5.2,6.7,6.2,9.6,8.9,7.8,9.5,9.9,9.2,8.5,9.4,5.2,8.3,9.4,8.5,7.9,5.2,5.9,8.5,9.6,8.3,8.1,7.6,7.2,6.8,9.8,7.7,9.3,7.6,5.0,5.2,6.5,5.3,8.1,9.7,7.9,8.2,7.0,9.8,6.4,8.6,9.3,8.2,8.7,7.5,7.5,5.4,,,,,,,,
20230783,Julia Carvalho Martins,julia.carvalho.martins@medicina.ficticio.edu,5.5,6.8,7.6,9.1,8.1,6.9,7.0,6.1,7.6,7.2,7.9,9.3,9.0,5.5,8.7,6.5,6.9,5.3,7.1,7.8,6.3,9.5,6.7,8.8,7.1,5.3,7.0,6.5,8.0,8.1,5.6,8.6,9.3,8.5,5.4,7.8,5.6,5.0,6.3,9.0,8.6,5.9,5.1,7.0,5.3,9.5,6.7,6.0,9.8,5.9,6.3,,,,,,,,
20230784,Julia Oliveira Oliveira,julia.oliveira.oliveira@medicina.ficticio.edu,7.7,5.9,8.6,6.1,7.8,9.0,8.8,8.3,9.0,9.7,9.0,7.7,5.7,6.0,9.0,6.7,7.7,9.8,9.6,6.4,8.2,5.0,9.8,7.4,8.9,6.3,5.3,8.9,7.5,5.2,5.8,5.0,8.9,7.2,5.5,8.3,6.9,9.5,6.8,5.3,9.4,5.7,8.4,6.1,9.7,9.9,9.9,8.0,6.1,9.2,7.3,,,,,,,,
20230785,Nicolas Silva Pereira,nicolas.silva.pereira@medicina.ficticio.edu,9.1,7.7,7.3,7.2,7.5,7.3,8.5,6.1,8.5,7.5,5.2,6.4,9.2,8.6,5.9,6.8,6.9,7.0,9.3,9.2,7.8,7.2,5.6,8.9,7.0,6.2,9.5,7.3,8.2,5.7,8.7,8.1,5.6,5.5,6.1,7.3,6.8,6.9,9.3,7.6,6.4,5.3,6.3,8.4,5.2,8.4,7.0,6.0,7.9,8.4,6.6,,,,,,,,
20230786,Pedro Souza Ribeiro,pedro.souza.ribeiro@medicina.ficticio.edu,5.3,7.7,7.2,6.8,6.1,5.4,6.7,6.1,5.3,8.2,7.5,9.8,5.4,6.8,7.1,6.7,6.0,6.0,7.6,5.2,9.4,5.6,9.1,8.1,5.8,6.0,7.5,9.0,5.1,6.8,8.9,5.0,5.8,8.6,9.5,7.8,7.8,8.7,6.3,5.1,8.0,10.0,5.2,8.9,7.2,7.5,6.0,7.0,10.0,9.0,5.6,,,,,,,,
20230787,Sofia Gomes Silva,sofia.gomes.silva@medicina.ficticio.edu,7.0,6.4,5.3,6.9,6.7,9.1,7.5,5.0,6.3,6.6,5.3,5.4,8.9,8.6,7.8,8.3,6.7,8.5,9.8,6.2,6.4,9.9,7.6,8.9,5.3,6.9,5.1,6.9,7.9,7.7,7.3,8.4,6.4,5.2,6.8,9.3,7.9,6.3,9.8,5.0,8.4,6.2,8.7,9.1,7.9,5.2,5.2,7.7,9.9,8.7,6.2,,,,,,,,
20230788,Helena Oliveira Silva,helena.oliveira.silva@medicina.ficticio.edu,7.9,5.8,5.8,6.5,8.5,7.2,5.0,5.9,5.7,6.7,8.6,6.1,5.2,5.8,5.2,7.9,8.7,8.8,7.6,6.5,9.0,7.8,8.3,6.3,5.1,6.0,9.7,5.8,9.5,9.5,8.7,7.6,7.7,8.8,6.8,8.9,8.4,9.1,7.0,9.3,5.5,9.9,8.8,8.3,6.8,7.8,6.7,8.8,7.8,8.2,6.8,,,,,,,,
20230789,Fernanda Silva Rodrigues,fernanda.silva.rodrigues@medicina.ficticio.edu,7.6,8.8,6.3,6.0,7.1,9.7,9.6,9.4,8.6,5.6,5.7,8.9,8.6,5.4,8.6,7.1,7.3,9.0,8.4,7.9,7.1,5.8,8.4,7.3,8.3,8.2,8.4,7.1,7.0,7.7,6.7,7.5,6.7,7.5,5.8,9.7,6.9,6.8,9.9,8.3,9.0,5.8,7.2,9.7,7.5,8.1,9.3,5.0,6.0,7.4,9.6,,,,,,,,
20230790,Carlos Martins Rodrigues,carlos.martins.rodrigues@medicina.ficticio.edu,8.5,7.6,9.7,9.3,9.1,8.0,9.9,7.9,9.2,5.2,6.6,6.6,8.2,9.5,6.5,9.7,6.6,7.7,7.9,8.5,9.8,7.5,8.9,5.4,6.8,6.9,9.3,6.6,7.8,5.6,9.6,7.4,9.2,6.5,9.0,9.9,9.2,7.3,8.9,9.0,7.2,7.0,5.1,6.4,7.9,7.2,6.0,6.6,8.0,8.2,9.7,,,,,,,,
20230791,Olivia Alves Almeida,olivia.alves.almeida@medicina.ficticio.edu,9.1,9.9,8.6,6.8,6.6,6.4,7.8,6.7,8.3,9.5,9.0,9.3,5.4,7.6,8.8,6.6,8.8,9.3,5.6,8.6,6.8,5.3,6.5,5.8,6.0,9.0,6.5,6.1,9.2,8.3,7.8,7.0,7.1,8.0,7.2,8.2,8.9,6.0,6.6,5.9,7.2,9.3,5.6,8.1,7.1,6.7,9.9,8.9,8.9,6.5,8.4,,,,,,,,
20230792,Vitor Ferreira Souza,vitor.ferreira.souza@medicina.ficticio.edu,5.3,7.6,8.0,9.4,5.6,6.0,9.7,9.0,5.2,6.2,8.1,6.2,5.1,9.8,9.6,8.2,9.1,5.5,6.4,6.0,8.5,7.7,6.0,8.9,6.0,6.5,8.1,7.2,9.6,6.1,9.3,6.2,8.0,7.6,5.8,5.5,7.7,6.6,8.6,8.4,8.5,6.6,5.8,7.2,5.7,5.3,8.9,5.2,8.9,8.7,8.4,,,,,,,,
20230793,Mariana Silva Almeida,mariana.silva.almeida@medicina.ficticio.edu,8.9,6.4,5.5,5.6,6.5,7.9,8.3,5.2,5.4,5.4,5.8,8.4,7.8,5.0,9.5,8.3,7.1,8.6,9.4,7.6,7.2,7.0,6.4,7.7,9.3,9.6,7.0,9.3,5.4,6.9,9.5,6.2,6.9,8.0,6.8,5.9,9.0,6.2,9.0,6.2,6.1,8.3,5.6,7.6,8.4,9.5,9.2,9.4,5.8,7.5,8.0,,,,,,,,
20230794,Rafael Ribeiro Martins,rafael.ribeiro.martins@medicina.ficticio.edu,6.4,6.2,8.2,8.8,8.6,5.4,7.5,8.2,6.0,8.9,8.7,6.4,9.8,5.6,8.6,8.9,5.7,9.4,8.3,9.7,8.6,5.4,6.5,10.0,5.9,8.7,9.6,6.0,6.3,7.4,6.7,6.3,6.8,5.5,6.7,5.5,5.3,9.8,6.8,6.5,8.3,8.8,6.1,8.4,9.7,9.1,8.0,8.4,6.0,7.4,9.1,,,,,,,,
20230795,Tiago Santos Santos,tiago.santos.santos@medicina.ficticio.edu,7.3,7.9,8.6,7.7,5.7,8.6,5.4,5.7,5.7,6.1,5.1,8.1,5.6,5.2,6.9,5.6,8.9,7.8,10.0,9.4,8.9,6.5,8.8,8.9,7.4,5.3,9.8,8.9,7.1,6.6,5.2,8.8,5.1,9.6,9.3,6.0,6.3,9.2,9.7,6.4,9.3,6.1,7.6,9.5,8.9,8.7,5.2,9.8,5.0,7.6,9.7,,,,,,,,
20230796,Ana Alves Costa,ana.alves.costa@medicina.ficticio.edu,7.9,7.3,6.8,9.2,5.8,8.4,6.5,8.2,9.7,7.0,8.5,5.3,8.0,8.3,9.2,6.9,7.5,8.7,5.7,10.0,7.0,9.7,9.5,7.9,8.0,7.2,6.9,6.2,9.5,5.8,7.7,6.0,7.9,9.7,6.1,6.4,8.7,9.5,9.5,6.2,9.3,9.4,6.6,5.0,7.0,7.5,7.3,7.1,7.4,8.2,6.5,,,,,,,,
20230797,Pedro Oliveira Ribeiro,pedro.oliveira.ribeiro@medicina.ficticio.edu,7.1,7.9,10.0,6.8,8.1,6.4,9.5,8.2,6.7,7.7,8.2,5.5,5.4,8.1,7.6,9.5,9.9,5.1,6.2,5.2,7.7,6.2,7.2,8.7,9.8,5.5,7.9,8.2,7.2,9.0,8.9,5.9,6.8,7.2,9.2,7.7,8.2,8.7,7.1,7.0,7.2,6.8,8.8,7.1,5.8,8.3,8.3,7.5,7.4,8.0,7.5,,,,,,,,
20230798,Quintino Gomes Rodrigues,quintino.gomes.rodrigues@medicina.ficticio.edu,7.3,6.3,9.6,5.6,6.1,7.1,5.0,9.7,5.1,6.2,5.6,8.2,8.8,7.6,5.4,5.0,5.2,6.2,9.6,7.9,8.2,6.5,6.2,5.2,9.2,8.6,6.8,7.8,7.2,9.5,9.0,5.9,8.5,6.5,9.7,10.0,6.8,7.3,8.5,5.7,5.4,8.3,8.2,8.9,8.8,6.8,5.3,8.2,7.7,8.4,8.3,,,,,,,,
20230799,Lucas Alves Rodrigues,lucas.alves.rodrigues@medicina.ficticio.edu,6.9,5.4,5.2,8.1,9.9,5.9,5.9,8.0,9.2,5.7,6.8,9.7,8.4,6.8,9.8,6.9,5.9,9.8,5.3,6.2,9.5,9.8,9.3,9.8,6.3,9.6,8.8,5.6,8.2,6.0,6.0,6.2,6.7,9.2,7.4,7.1,8.9,6.4,8.7,6.3,7.1,8.5,9.2,7.0,6.7,5.4,5.4,8.4,7.0,9.8,5.4,,,,,,,,
20230800,Gabriel Lima Pereira,gabriel.lima.pereira@medicina.ficticio.edu,9.6,8.3,8.5,6.3,6.6,9.1,7.4,9.1,5.1,7.9,9.9,6.9,8.8,5.4,5.8,5.7,5.9,5.3,7.4,6.7,10.0,6.1,6.8,9.1,8.4,5.3,5.5,9.8,6.5,8.9,5.4,9.9,5.3,7.2,9.1,5.3,5.9,8.0,8.2,8.8,8.3,6.1,5.0,7.1,5.9,7.7,7.2,6.7,9.9,9.8,9.0,,,,,,,,
20230801,Aluno Teste 9P,9teste@teste,8.9,5.3,5.0,8.9,6.3,9.5,7.0,7.0,9.5,6.2,7.6,7.4,9.4,8.0,9.9,8.9,7.8,6.6,6.6,7.4,6.5,7.6,8.7,9.1,7.6,8.3,9.7,6.6,7.3,7.7,7.1,5.3,10.0,8.0,6.9,6.9,7.9,8.9,9.7,7.3,5.2,6.2,7.9,8.5,9.4,5.2,8.4,5.2,6.1,5.5,9.1,7.2,6.2,,,,,,
20230802,Sofia Almeida Carvalho,sofia.almeida.carvalho@medicina.ficticio.edu,8.6,7.7,9.2,9.2,6.7,5.3,8.5,8.2,9.4,8.3,6.9,7.1,8.1,8.4,6.7,7.7,7.3,5.3,7.1,6.1,8.0,6.3,7.2,7.8,9.6,8.3,9.6,5.5,6.1,5.9,5.3,7.5,7.0,6.9,9.3,6.8,8.4,9.1,5.9,8.7,8.9,6.6,8.0,9.6,9.9,8.9,6.4,7.1,6.8,8.0,8.6,5.1,5.9,,,,,,
20230803,Zeca Carvalho Silva,zeca.carvalho.silva@medicina.ficticio.edu,6.8,9.1,5.0,5.1,6.7,8.2,5.9,8.5,7.4,7.9,7.3,8.8,9.7,5.2,5.8,7.1,6.3,5.5,6.3,9.8,9.2,9.1,7.5,6.0,9.9,8.0,6.9,5.1,9.1,7.3,7.3,7.6,6.5,6.2,6.9,9.7,5.1,8.7,9.4,7.9,8.5,9.4,6.8,6.5,9.8,7.6,7.1,6.3,8.0,6.9,7.3,8.3,7.4,,,,,,
20230804,Julia Lima Carvalho,julia.lima.carvalho@medicina.ficticio.edu,5.1,8.2,7.4,5.8,9.0,6.4,9.5,7.7,6.4,7.6,5.2,8.5,7.6,5.9,7.3,8.1,7.0,6.5,9.2,6.8,7.0,6.5,7.1,7.5,6.2,8.1,5.6,9.5,8.3,6.8,9.9,5.4,7.2,6.5,5.7,8.2,8.5,8.4,6.1,5.5,8.6,8.7,6.9,7.5,5.4,7.2,5.7,5.6,6.0,6.1,7.6,5.7,9.3,,,,,,
20230805,Tiago Costa Costa,tiago.costa.costa@medicina.ficticio.edu,7.0,8.0,6.1,6.6,6.9,8.3,5.0,7.9,9.1,7.0,9.8,7.4,6.1,6.7,5.8,5.3,6.9,7.9,7.2,9.9,7.3,8.6,9.4,9.3,9.9,5.7,6.8,7.9,8.1,7.8,7.9,6.9,5.3,7.5,9.7,5.8,5.2,7.5,8.4,8.6,9.8,6.6,8.8,9.1,6.0,8.1,8.1,6.3,7.2,9.3,7.8,6.0,6.5,,,,,,
20230806,Zeca Almeida Martins,zeca.almeida.martins@medicina.ficticio.edu,5.1,6.5,6.1,9.1,7.5,8.6,5.9,9.6,5.8,9.1,6.8,8.7,6.4,9.9,9.3,6.8,7.6,8.9,7.0,5.3,6.1,6.6,9.7,6.6,8.1,9.8,6.1,6.5,6.5,9.3,9.9,10.0,6.2,5.3,8.7,7.3,6.4,7.6,5.3,7.7,7.0,8.0,9.3,9.5,9.2,6.7,6.6,6.0,6.6,6.7,5.1,5.8,5.9,,,,,,
20230807,Pedro Souza Martins,pedro.souza.martins@medicina.ficticio.edu,7.7,5.7,6.2,7.9,8.1,7.5,5.5,5.4,9.8,5.4,9.1,5.0,5.1,7.6,8.0,8.2,9.1,8.4,6.9,6.4,7.5,8.0,9.1,9.2,8.5,5.2,6.8,8.2,7.7,8.6,9.3,9.9,9.9,8.8,8.2,5.8,9.9,6.4,8.0,6.3,9.8,7.4,6.1,8.2,7.0,9.7,9.1,9.4,6.4,9.7,7.7,6.7,9.5,,,,,,
20230808,Fernanda Carvalho Martins,fernanda.carvalho.martins@medicina.ficticio.edu,8.3,9.7,9.1,9.0,6.2,7.2,7.1,8.2,6.6,5.5,9.8,8.2,5.3,8.4,6.5,8.1,6.1,5.9,6.5,8.2,8.4,6.8,9.9,7.5,7.8,7.5,5.2,9.8,8.8,8.7,9.3,5.7,7.8,8.7,5.8,9.7,6.4,8.6,8.3,7.0,8.9,9.6,9.8,6.8,8.3,6.6,7.0,9.9,6.3,6.5,9.1,9.3,7.4,,,,,,
20230809,Bruno Pereira Souza,bruno.pereira.souza@medicina.ficticio.edu,6.8,8.0,7.5,6.7,8.6,8.4,8.7,6.0,7.0,9.9,6.7,10.0,5.4,8.4,9.8,5.3,8.8,8.7,6.6,7.5,6.9,7.3,9.6,6.5,8.0,6.9,9.9,6.5,9.0,5.2,5.0,6.5,7.5,7.5,5.4,9.6,5.6,6.3,5.0,5.7,9.8,7.6,6.5,8.8,5.3,6.8,9.5,8.3,9.9,6.7,9.1,7.2,7.8,,,,,,
20230810,Bruno Santos Ribeiro,bruno.santos.ribeiro@medicina.ficticio.edu,5.9,7.1,6.8,9.9,5.8,7.7,8.0,8.4,9.0,7.1,8.5,8.3,8.0,9.2,8.2,8.1,8.6,8.2,6.4,9.7,5.3,5.6,6.1,8.5,5.6,7.2,6.1,9.8,6.8,6.4,6.6,9.0,6.3,7.2,6.6,6.6,6.8,6.2,6.1,7.7,8.1,6.6,6.3,9.1,8.5,6.4,7.1,8.2,9.4,5.1,9.7,8.7,8.8,,,,,,
